customer_id,age,gender,education,employment_type,employment_years,annual_income,loan_amount,debt_to_income_ratio,credit_score,num_previous_loans,missed_payments_last_2yr,defaulted
CUST_09152,41,,masters,Unemployed,26,,7253,0.58,,2,14,0
CUST_04843,27,F,masters,Self-Employed,27,44009.0,36912,0.48,374,3,12,1
CUST_06786,48,,BACHELOR,Unemployed,3,48048.0,67398,0.28,633,2,3,0
CUST_03110,55,Male,Master,salaried,1,82779.0,56035,0.58,583,9,5,0
CUST_00439,68,F,,SELF-EMPLOYED,29,26032.0,97814,0.18,396,6,1,1
CUST_02473,66,,High School,self employed,29,,11458,0.89,730,1,1,0
CUST_06095,55,male,,SELF-EMPLOYED,18,38237.0,82686,0.29,442,1,1,1
CUST_09145,41,male,PhD,salaried,,,61600,0.14,,4,3,0
CUST_07773,23,M,,Unemployed,1,,88870,0.53,843,9,10,1
CUST_01568,26,F,Master,self employed,9,44543.0,56850,0.43,354,6,5,1
CUST_02732,53,F,,Salaried,9,80101.0,49370,0.9,327,1,9,1
CUST_00169,60,M,BACHELOR,self employed,5,-99999.0,13250,,603,8,7,0
CUST_09283,,M,,,6,54064.0,35567,0.47,,6,4,0
CUST_00487,40,,high school,,15,81778.0,42575,0.87,470,2,10,1
CUST_07915,66,,masters,,10,37327.0,90148,0.54,554,4,3,0
CUST_05684,54,,PhD,,27,75782.0,19992,0.67,840,4,7,1
CUST_09980,31,,,SELF-EMPLOYED,22,43527.0,93209,0.66,,0,10,1
CUST_04689,41,female,masters,self employed,9,38778.0,41988,0.47,,7,7,0
CUST_05081,23,Female,Master,Unemployed,3,45309.0,23808,0.59,489,0,7,1
CUST_02287,51,M,,salaried,23,50771.0,12207,0.79,735,1,5,0
CUST_09455,43,Male,phd,Salaried,19,39562.0,56716,,619,1,11,0
CUST_06394,34,,High School,,17,87785.0,60121,0.17,,4,10,1
CUST_01981,29,M,phd,Self-Employed,11,55135.0,24282,0.84,785,8,10,1
CUST_07243,65,female,Bachelor,salaried,29,37843.0,98690,0.87,371,5,5,0
CUST_05912,25,,masters,SELF-EMPLOYED,26,67060.0,25708,0.53,806,6,0,0
CUST_04847,21,female,BACHELOR,Salaried,29,57753.0,58720,0.5,720,1,9,1
CUST_02886,25,M,phd,Self-Employed,11,63876.0,14109,0.79,744,0,3,0
CUST_07619,35,female,PhD,Self-Employed,10,29641.0,91525,0.22,673,9,6,1
CUST_08757,67,Male,phd,Self-Employed,8,52145.0,73657,0.88,517,8,5,1
CUST_09551,47,Male,BACHELOR,Self-Employed,21,54879.0,72879,0.86,571,1,2,0
CUST_05471,46,F,Bachelor,salaried,21,32791.0,36593,0.5,735,4,11,0
CUST_08645,,,Master,Salaried,12,62502.0,21504,0.29,761,8,4,0
CUST_04725,30,Female,Bachelor,self employed,25,58685.0,83421,0.75,421,1,4,0
CUST_06487,21,Male,phd,Self-Employed,16,75074.0,60615,0.72,437,8,14,1
CUST_01741,21,,High School,salaried,15,49216.0,36247,0.44,802,0,13,1
CUST_09502,34,M,high school,self employed,16,79027.0,61700,0.15,,0,12,0
CUST_07076,18,M,Bachelor,Unemployed,,33337.0,97858,0.72,325,8,5,0
CUST_04930,51,M,High School,Unemployed,5,57704.0,69311,0.51,694,8,0,0
CUST_00624,42,M,PhD,Self-Employed,15,28975.0,30839,0.89,451,8,5,1
CUST_03518,,male,phd,Self-Employed,9,54677.0,42345,0.12,394,3,10,1
CUST_09793,33,female,BACHELOR,SELF-EMPLOYED,25,87816.0,8889,0.9,523,1,1,1
CUST_03382,28,F,PhD,SELF-EMPLOYED,5,,79657,0.25,489,0,7,1
CUST_00373,,F,Bachelor,Unemployed,21,27323.0,74499,0.63,,7,1,1
CUST_01393,63,Female,Bachelor,Salaried,19,51690.0,98728,0.64,382,3,6,1
CUST_01941,34,female,PhD,Self-Employed,2,61142.0,94217,0.89,372,4,4,0
CUST_07355,20,,high school,,,34737.0,11005,0.84,709,1,5,0
CUST_08575,58,Male,PhD,Self-Employed,9,50549.0,90324,0.32,698,0,7,1
CUST_07236,44,F,high school,Salaried,28,34816.0,6066,0.52,524,2,11,1
CUST_07580,33,Female,,self employed,8,30686.0,14310,0.45,619,6,13,0
CUST_05245,46,Female,,Unemployed,,-4449.0,20604,0.38,676,4,3,0
CUST_03692,36,female,High School,salaried,26,47102.0,70749,0.73,776,2,0,1
CUST_03383,29,F,masters,Unemployed,4,46091.0,33612,0.65,494,8,12,1
CUST_05795,49,M,PhD,self employed,6,53556.0,91857,0.69,,1,4,0
CUST_04279,45,,masters,Unemployed,21,,67525,0.54,579,9,2,0
CUST_03297,59,F,Bachelor,self employed,17,44947.0,10307,0.38,712,6,9,0
CUST_01446,18,Female,high school,self employed,12,77840.0,8518,0.32,688,9,10,1
CUST_08074,23,female,phd,salaried,,37620.0,6712,0.51,400,1,2,0
CUST_07361,52,Male,masters,self employed,0,68410.0,72797,0.25,586,9,12,1
CUST_01318,,male,PhD,Salaried,28,38954.0,85067,0.8,492,8,12,1
CUST_08336,45,M,,self employed,6,,37332,0.45,555,1,6,1
CUST_03776,53,,Bachelor,Unemployed,20,51366.0,15109,0.42,347,7,4,1
CUST_01347,37,F,phd,Unemployed,3,37366.0,7214,0.23,305,5,0,1
CUST_05589,46,female,,self employed,17,51854.0,72929,0.35,749,8,14,0
CUST_08866,19,male,masters,Salaried,18,,91619,0.13,777,6,8,0
CUST_02948,32,female,PhD,SELF-EMPLOYED,8,46127.0,51803,0.67,649,1,9,0
CUST_07931,36,Male,,Self-Employed,9,64537.0,97471,0.49,398,0,3,0
CUST_09158,,male,,self employed,8,32753.0,49258,0.79,528,3,4,1
CUST_08358,24,female,PhD,SELF-EMPLOYED,25,15395.0,12645,0.47,599,2,0,0
CUST_06636,50,Female,,SELF-EMPLOYED,13,66879.0,63959,0.43,419,5,5,1
CUST_02680,28,F,BACHELOR,,1,69448.0,73483,0.87,651,6,3,0
CUST_07200,58,F,BACHELOR,Salaried,4,33855.0,19989,0.47,839,3,9,0
CUST_08091,61,M,PhD,SELF-EMPLOYED,25,54630.0,34184,,572,3,3,0
CUST_00107,61,,masters,self employed,7,97842.0,61153,0.32,357,2,9,1
CUST_09480,30,Female,BACHELOR,Self-Employed,,,84493,0.76,559,6,3,0
CUST_02362,28,F,High School,self employed,28,63979.0,63045,0.6,731,5,0,0
CUST_04055,36,Female,,salaried,23,,7332,0.5,779,2,5,0
CUST_05868,56,F,BACHELOR,,1,56509.0,61481,0.42,,4,14,1
CUST_02110,39,Female,high school,SELF-EMPLOYED,24,68917.0,79135,0.88,484,2,5,0
CUST_07213,35,F,PhD,self employed,19,54563.0,73464,0.84,404,4,8,0
CUST_02270,43,male,high school,Self-Employed,4,32466.0,57233,0.72,693,5,1,0
CUST_04866,50,F,masters,salaried,11,36358.0,46988,0.65,596,2,13,1
CUST_04871,44,Female,BACHELOR,salaried,,56731.0,24205,0.14,581,6,10,0
CUST_07868,50,male,Bachelor,Self-Employed,7,21339.0,74020,0.17,578,4,13,0
CUST_02516,43,,,Salaried,20,,65252,0.34,707,8,2,0
CUST_03574,36,,BACHELOR,salaried,28,70146.0,48543,0.21,406,6,12,1
CUST_06883,27,female,High School,self employed,15,64508.0,66157,0.23,371,7,1,0
CUST_07387,48,F,Master,Unemployed,26,34547.0,16277,0.63,796,2,1,0
CUST_08753,61,Male,phd,,11,57514.0,99680,0.5,504,0,7,1
CUST_02574,59,F,High School,SELF-EMPLOYED,21,31806.0,25557,0.66,557,4,0,0
CUST_00655,69,Male,masters,Salaried,26,42926.0,97681,0.28,799,4,2,0
CUST_00450,39,male,,salaried,10,55123.0,55641,0.55,840,1,7,1
CUST_02602,25,M,BACHELOR,Unemployed,5,43243.0,7070,0.3,714,2,7,0
CUST_00518,47,male,masters,Unemployed,9,26244.0,24318,0.67,475,4,2,1
CUST_06377,30,Male,Master,self employed,7,28734.0,43731,0.33,396,9,7,1
CUST_04100,54,F,PhD,Self-Employed,22,48025.0,48050,0.49,780,7,1,0
CUST_02029,35,Male,PhD,Self-Employed,4,76786.0,58550,0.4,836,3,0,0
CUST_05095,57,Male,masters,salaried,24,31981.0,25310,0.3,720,7,0,0
CUST_07865,40,Male,High School,Unemployed,20,34074.0,9134,0.58,319,9,14,0
CUST_00958,62,Female,phd,SELF-EMPLOYED,22,57166.0,27074,0.51,626,7,14,1
CUST_03298,24,M,High School,,,-14830.0,17904,0.28,813,5,7,0
CUST_00673,64,Female,,SELF-EMPLOYED,23,20981.0,56176,0.11,469,3,14,1
CUST_09125,29,F,High School,Unemployed,20,23357.0,87632,0.22,660,9,12,0
CUST_09194,54,F,masters,salaried,28,41329.0,21858,0.77,621,6,14,1
CUST_04782,40,M,BACHELOR,Self-Employed,,38162.0,15884,0.78,380,3,11,1
CUST_03429,49,M,Master,Salaried,21,103966.0,84722,0.66,823,0,12,0
CUST_05669,67,,high school,SELF-EMPLOYED,23,21790.0,6352,0.55,648,9,2,0
CUST_07081,25,male,Master,SELF-EMPLOYED,29,30199.0,20171,0.12,597,5,4,0
CUST_00321,65,F,BACHELOR,Unemployed,28,65415.0,45797,0.29,485,7,9,1
CUST_02012,61,,,Salaried,,35848.0,19837,0.28,357,4,11,1
CUST_03412,60,female,Bachelor,self employed,20,67647.0,35975,0.34,448,9,13,1
CUST_09225,53,M,BACHELOR,Salaried,29,59351.0,75886,0.58,500,8,5,0
CUST_07142,67,,masters,salaried,21,69322.0,37952,0.42,558,2,10,0
CUST_08149,37,female,BACHELOR,self employed,22,38548.0,61148,0.13,,1,5,0
CUST_07532,23,,,Unemployed,24,80241.0,50652,0.51,657,2,0,0
CUST_08088,27,female,high school,Self-Employed,0,46258.0,53250,0.14,508,3,8,1
CUST_01175,40,Male,phd,salaried,,70512.0,11639,0.15,,2,7,1
CUST_05018,69,F,,,11,68693.0,35432,0.43,412,1,6,1
CUST_05129,45,female,High School,salaried,5,67028.0,44509,0.57,428,9,13,1
CUST_09513,39,F,phd,self employed,4,38236.0,57197,0.81,759,4,5,0
CUST_06998,51,Female,Bachelor,Self-Employed,3,51666.0,20018,0.71,696,7,4,0
CUST_01523,24,F,PhD,Salaried,20,76739.0,26310,0.73,474,0,10,0
CUST_00259,33,,Bachelor,salaried,20,60728.0,65532,0.77,340,9,0,1
CUST_08470,48,Male,masters,Unemployed,15,68185.0,75412,0.45,430,5,5,1
CUST_05493,,M,BACHELOR,Self-Employed,3,61507.0,44367,0.77,489,4,5,0
CUST_00031,44,,PhD,self employed,,53159.0,37919,0.55,569,0,5,0
CUST_00035,32,M,PhD,,16,42487.0,62943,0.4,693,3,3,0
CUST_04539,19,F,BACHELOR,self employed,0,55604.0,5617,0.11,468,6,14,0
CUST_08129,53,female,BACHELOR,Unemployed,28,30044.0,59320,,440,0,4,0
CUST_08422,,M,PhD,Self-Employed,16,12742.0,24139,,396,9,12,1
CUST_03508,33,F,PhD,self employed,0,57918.0,49086,0.36,404,0,3,0
CUST_00500,33,Male,BACHELOR,Salaried,9,31824.0,93958,0.62,418,8,8,1
CUST_04184,32,Female,high school,Salaried,28,32068.0,62684,0.87,519,6,12,1
CUST_06589,43,female,BACHELOR,Salaried,24,47509.0,85916,0.37,405,5,9,1
CUST_06086,42,Male,PhD,,11,62204.0,67118,0.47,429,9,4,1
CUST_01488,60,female,high school,,17,44821.0,56759,,530,8,11,1
CUST_02088,23,F,masters,Unemployed,17,28679.0,30180,0.48,705,5,6,0
CUST_04226,26,M,Bachelor,,13,80647.0,84656,0.54,620,8,13,0
CUST_09619,69,M,BACHELOR,salaried,2,50341.0,91365,0.46,305,5,8,0
CUST_07134,42,Female,BACHELOR,,14,,91717,0.2,709,2,4,0
CUST_04789,30,M,BACHELOR,salaried,19,57768.0,95196,0.74,807,9,4,0
CUST_02009,,M,phd,salaried,2,120581.0,49055,0.8,435,0,5,0
CUST_04514,33,Male,,self employed,8,,91967,0.51,,0,1,0
CUST_04466,66,,BACHELOR,Self-Employed,28,62184.0,5944,0.87,465,7,1,1
CUST_06634,42,male,high school,,28,43803.0,36584,0.35,368,6,12,1
CUST_00080,31,Male,BACHELOR,SELF-EMPLOYED,22,47533.0,97477,0.83,340,6,12,1
CUST_01623,33,male,phd,SELF-EMPLOYED,21,44839.0,16801,0.66,495,2,2,1
CUST_05610,19,Male,High School,Self-Employed,18,28242.0,83399,0.52,666,8,14,0
CUST_05332,37,Female,,,12,11733.0,9720,0.44,317,7,0,1
CUST_00251,23,male,BACHELOR,SELF-EMPLOYED,5,59071.0,83487,0.33,343,0,13,1
CUST_06156,63,,high school,,,53278.0,8801,0.81,334,0,10,1
CUST_00765,25,F,high school,Self-Employed,16,81363.0,96373,0.47,591,8,8,1
CUST_04540,51,female,,,13,55843.0,11285,0.69,380,4,12,1
CUST_08350,62,M,High School,salaried,14,57606.0,98154,0.28,406,7,14,1
CUST_00119,56,female,Bachelor,self employed,2,40931.0,38457,0.17,413,8,4,0
CUST_08318,56,Female,masters,Self-Employed,18,53339.0,24880,0.21,575,0,9,1
CUST_08950,65,,Bachelor,Salaried,0,50467.0,66082,0.4,782,1,8,0
CUST_01543,53,F,PhD,SELF-EMPLOYED,3,60193.0,81668,0.6,345,3,8,1
CUST_05117,31,female,,Unemployed,15,62887.0,20456,0.52,,5,6,0
CUST_08369,46,Male,Bachelor,salaried,,51937.0,75009,,641,3,5,0
CUST_07454,42,female,Bachelor,Salaried,24,43907.0,95336,0.36,445,3,13,0
CUST_03755,56,M,high school,SELF-EMPLOYED,12,27287.0,66580,0.73,635,9,13,0
CUST_01149,,M,masters,Self-Employed,4,,48034,0.41,786,2,8,1
CUST_01718,65,female,high school,,3,24210.0,57191,0.76,491,0,2,0
CUST_00582,40,F,high school,Unemployed,20,10653.0,64976,0.83,486,3,4,1
CUST_06234,20,,masters,Salaried,27,58809.0,97013,0.88,616,3,8,1
CUST_05664,46,male,,self employed,5,57086.0,91873,0.17,326,4,0,0
CUST_07493,44,male,,Unemployed,15,51234.0,16395,0.7,824,7,8,0
CUST_00303,52,F,masters,SELF-EMPLOYED,14,10899.0,92533,0.61,826,5,4,0
CUST_08831,20,,phd,Self-Employed,29,38261.0,99302,0.15,722,5,6,0
CUST_09453,40,F,masters,Self-Employed,20,71713.0,86037,0.75,412,1,13,0
CUST_04288,58,Female,Bachelor,Salaried,0,28026.0,56412,0.29,450,7,1,0
CUST_00021,47,F,PhD,salaried,6,42534.0,15273,0.74,636,5,6,0
CUST_05805,33,female,BACHELOR,Salaried,13,44808.0,18417,0.35,,8,11,0
CUST_01530,63,Male,,salaried,8,13924.0,71603,0.63,585,0,7,1
CUST_09976,49,,High School,salaried,15,,7883,0.55,,1,11,0
CUST_02018,39,Male,High School,salaried,14,68936.0,65126,0.35,447,5,4,1
CUST_09275,46,Female,Master,,20,64845.0,11726,0.38,429,2,6,1
CUST_02484,56,M,PhD,self employed,1,84559.0,74980,0.81,645,4,6,0
CUST_01851,62,male,phd,Salaried,10,36390.0,55615,0.89,360,0,10,1
CUST_07130,47,Female,PhD,SELF-EMPLOYED,12,37069.0,68257,0.73,597,8,0,1
CUST_08061,65,Male,Bachelor,SELF-EMPLOYED,5,75504.0,86504,0.17,408,7,6,1
CUST_08499,51,male,phd,SELF-EMPLOYED,5,74522.0,89944,0.52,647,1,6,0
CUST_01453,20,F,masters,Salaried,10,51681.0,76980,0.52,748,8,10,0
CUST_06253,27,Male,BACHELOR,Unemployed,9,,46343,,337,8,8,1
CUST_07986,43,F,Bachelor,,6,,26432,,380,1,2,0
CUST_04549,47,Male,Bachelor,self employed,16,33398.0,75310,0.19,744,4,9,1
CUST_05706,39,M,High School,self employed,18,57974.0,43551,0.41,808,9,7,0
CUST_09349,67,male,BACHELOR,,11,45961.0,82700,0.13,469,5,6,1
CUST_03455,22,male,,Self-Employed,21,22942.0,30658,0.75,316,6,12,1
CUST_07453,,male,PhD,Salaried,23,23714.0,42997,0.29,782,6,9,0
CUST_04469,37,female,,Salaried,14,59598.0,44442,0.68,544,0,12,1
CUST_00311,41,,BACHELOR,SELF-EMPLOYED,19,38174.0,57635,0.49,601,3,12,1
CUST_02754,62,,high school,SELF-EMPLOYED,13,28047.0,20546,0.18,565,8,1,1
CUST_05518,49,male,PhD,salaried,11,48733.0,80012,0.82,395,1,2,1
CUST_04730,42,male,PhD,,7,40015.0,16448,,338,3,1,0
CUST_06953,61,M,High School,Unemployed,17,50385.0,31403,0.63,636,9,7,1
CUST_03578,62,male,PhD,salaried,21,34991.0,91346,0.75,725,8,4,0
CUST_03443,55,,masters,Unemployed,,83258.0,79137,0.21,352,4,13,1
CUST_01658,20,M,high school,Salaried,18,55600.0,55509,0.33,726,6,12,0
CUST_08179,69,F,phd,Unemployed,7,93409.0,6613,0.17,785,8,1,0
CUST_06599,68,male,phd,self employed,18,56726.0,97239,0.88,363,6,6,1
CUST_00295,18,male,high school,Salaried,18,12939.0,33436,0.31,780,0,12,1
CUST_02458,65,,masters,self employed,6,38007.0,26198,0.72,687,6,5,0
CUST_09034,33,male,High School,Self-Employed,,,16783,0.82,375,0,10,1
CUST_08761,20,male,Master,self employed,11,23909.0,94615,0.37,452,5,6,1
CUST_02128,62,female,Bachelor,Self-Employed,3,55827.0,15726,0.46,410,5,3,1
CUST_05762,,Male,BACHELOR,self employed,12,34245.0,89684,0.81,543,5,11,1
CUST_05550,29,F,BACHELOR,Self-Employed,19,56310.0,47164,0.71,615,4,1,0
CUST_01608,33,male,masters,SELF-EMPLOYED,21,52160.0,38158,0.74,733,2,3,1
CUST_01807,43,Male,Bachelor,Unemployed,2,36097.0,39070,0.25,,6,5,1
CUST_06180,,Female,high school,Salaried,3,14219.0,64707,0.51,674,5,10,0
CUST_09312,56,F,Bachelor,Salaried,17,,5645,,,6,4,0
CUST_00039,69,female,PhD,salaried,15,,23642,0.16,373,6,10,1
CUST_09760,31,M,BACHELOR,self employed,13,10324.0,38777,,736,4,1,0
CUST_01954,31,male,phd,,25,68561.0,29312,0.5,590,5,12,1
CUST_03937,65,female,Bachelor,,19,55349.0,86711,0.79,326,9,8,1
CUST_09320,55,,phd,Self-Employed,23,23432.0,97125,,,6,10,0
CUST_08478,38,Female,PhD,Self-Employed,16,46505.0,69792,0.68,545,3,6,1
CUST_03728,,Male,High School,Self-Employed,17,40819.0,52373,0.17,470,0,8,0
CUST_03151,65,F,high school,Unemployed,,65706.0,40780,0.19,397,0,13,0
CUST_06773,43,Male,masters,SELF-EMPLOYED,29,36199.0,51084,0.64,593,6,0,0
CUST_02620,25,Male,phd,Unemployed,,65068.0,75298,0.34,752,9,4,0
CUST_05861,45,F,High School,Salaried,16,42155.0,59575,0.88,448,8,8,1
CUST_05306,28,Female,phd,self employed,22,54671.0,6672,0.39,689,9,0,0
CUST_02564,58,F,high school,Salaried,14,65524.0,87753,0.77,584,9,5,1
CUST_08051,57,Female,phd,,,49822.0,58034,0.56,469,9,2,1
CUST_09395,41,male,High School,Unemployed,,28463.0,54200,0.26,591,6,10,0
CUST_04747,59,Female,Master,Self-Employed,1,90802.0,60221,0.52,637,8,3,0
CUST_06358,29,F,high school,Salaried,12,45683.0,39494,,545,0,14,1
CUST_06104,47,female,BACHELOR,SELF-EMPLOYED,29,83305.0,15304,0.6,529,4,13,1
CUST_02227,64,,High School,Self-Employed,2,57075.0,73702,0.35,606,9,2,0
CUST_02685,21,M,phd,Self-Employed,12,25500.0,13308,0.15,677,6,5,0
CUST_01472,63,F,Master,salaried,9,8457.0,33270,,371,0,2,1
CUST_06347,27,female,High School,self employed,23,50188.0,15370,0.34,600,0,13,1
CUST_00937,67,,high school,self employed,13,,23540,,391,2,2,1
CUST_03329,56,Female,High School,salaried,26,62830.0,91596,0.36,405,2,13,1
CUST_05841,50,male,masters,salaried,9,,59251,0.57,763,9,12,1
CUST_02487,24,M,masters,,9,39890.0,64891,0.2,649,9,4,0
CUST_04822,41,Male,,Unemployed,18,60848.0,26440,0.6,362,8,0,0
CUST_04157,34,female,High School,Salaried,22,49850.0,98539,0.7,418,1,10,1
CUST_05151,42,,High School,Self-Employed,25,39174.0,18381,0.6,617,3,2,0
CUST_02592,30,F,high school,self employed,11,48093.0,47042,0.19,837,1,3,0
CUST_09053,38,female,masters,Salaried,10,42028.0,26719,0.45,744,9,7,0
CUST_05830,21,Female,BACHELOR,SELF-EMPLOYED,9,21376.0,20011,0.12,,7,2,0
CUST_06273,49,female,high school,self employed,,72255.0,7387,0.77,591,8,3,0
CUST_01864,19,,phd,,2,30907.0,14934,0.17,524,6,3,1
CUST_03661,68,M,PhD,salaried,14,49816.0,88105,0.28,550,4,0,0
CUST_06792,28,Female,high school,Self-Employed,9,8769.0,79376,0.78,515,4,3,0
CUST_01107,,male,,Salaried,17,42120.0,98679,0.14,577,8,3,0
CUST_03964,21,male,Bachelor,Salaried,28,43124.0,25378,0.28,529,9,1,1
CUST_04936,27,Female,Master,salaried,10,28213.0,77150,0.38,306,1,7,1
CUST_09327,55,F,Bachelor,Self-Employed,28,61890.0,98945,0.87,807,0,7,0
CUST_08379,53,M,BACHELOR,Salaried,,48342.0,8268,0.59,446,4,12,1
CUST_07100,42,male,phd,Unemployed,28,,64234,0.72,793,9,6,1
CUST_01597,64,male,phd,Unemployed,25,55894.0,19099,0.6,482,8,5,1
CUST_02168,58,Male,Bachelor,Self-Employed,1,69355.0,81587,0.68,603,0,14,1
CUST_09496,35,Female,BACHELOR,Self-Employed,26,55353.0,86697,0.15,326,3,0,0
CUST_06601,41,M,masters,,18,40396.0,28179,0.48,702,7,14,0
CUST_02360,48,M,phd,salaried,26,32923.0,98232,0.82,766,3,3,1
CUST_03686,34,Female,Master,SELF-EMPLOYED,22,58916.0,52865,0.63,575,3,4,0
CUST_06326,40,Female,Master,,10,59736.0,23033,0.81,634,6,0,0
CUST_04292,35,Male,PhD,Unemployed,6,72099.0,36679,0.43,,8,11,1
CUST_02522,,Male,PhD,Salaried,21,34556.0,5552,0.7,833,5,2,0
CUST_01254,40,,High School,Salaried,5,71798.0,53419,,355,4,11,1
CUST_01458,54,male,BACHELOR,,24,,98104,0.1,337,4,0,1
CUST_02340,36,Female,masters,,28,45917.0,71802,0.74,769,6,7,0
CUST_09241,64,Female,Bachelor,,15,37764.0,46623,0.82,444,5,0,1
CUST_08764,,Male,BACHELOR,SELF-EMPLOYED,3,50441.0,8397,0.4,342,2,13,1
CUST_06826,30,M,phd,Unemployed,19,,25185,0.69,640,4,4,0
CUST_07553,51,Male,High School,,26,45034.0,18984,0.78,,5,9,1
CUST_02707,47,F,High School,self employed,5,53394.0,72750,0.83,670,1,2,0
CUST_02122,42,male,Bachelor,Unemployed,4,64149.0,78236,0.72,442,6,1,0
CUST_01078,19,,High School,,6,33749.0,65951,0.51,820,9,6,1
CUST_04393,53,female,,,5,12665.0,23899,0.86,722,5,8,1
CUST_03742,18,,PhD,Self-Employed,1,70439.0,57680,0.14,719,8,10,0
CUST_02970,49,,High School,SELF-EMPLOYED,2,57204.0,35711,0.16,840,1,2,0
CUST_03883,28,Female,,Unemployed,4,40896.0,28038,0.31,378,4,8,1
CUST_02392,42,F,,,7,78728.0,26871,0.48,497,2,11,1
CUST_03412,60,female,Bachelor,self employed,20,67647.0,35975,0.34,448,9,13,1
CUST_04836,30,Female,phd,self employed,17,61897.0,17924,0.6,449,0,10,1
CUST_08829,64,female,BACHELOR,self employed,2,28973.0,59492,0.14,599,7,1,0
CUST_03060,61,F,PhD,Self-Employed,22,21121.0,53098,0.45,792,6,6,1
CUST_03043,50,F,high school,salaried,28,62014.0,6056,0.72,755,8,4,0
CUST_01732,56,F,Master,Salaried,5,65349.0,48388,0.81,531,7,13,1
CUST_00900,34,female,Master,Salaried,7,,71610,0.18,683,2,12,0
CUST_00106,18,Male,PhD,salaried,21,53851.0,13434,0.75,619,0,13,1
CUST_05716,28,female,high school,Unemployed,29,55763.0,86736,0.4,703,3,1,0
CUST_03338,68,Male,BACHELOR,Salaried,,16955.0,19807,0.42,746,0,6,0
CUST_04894,37,Male,,salaried,12,57999.0,13903,,406,5,2,0
CUST_06706,42,,high school,self employed,18,43848.0,63820,0.57,375,1,0,0
CUST_01026,64,male,PhD,,4,83426.0,98804,0.15,819,4,0,0
CUST_04076,19,M,PhD,Self-Employed,21,69060.0,28481,0.72,803,8,7,1
CUST_02348,45,M,High School,salaried,18,29217.0,12791,0.73,529,5,10,1
CUST_03860,50,Female,Bachelor,self employed,4,52622.0,29564,0.54,532,7,12,1
CUST_00346,65,female,High School,SELF-EMPLOYED,,62004.0,84602,0.68,,4,8,0
CUST_03989,34,,BACHELOR,,21,51636.0,26925,0.47,375,6,0,0
CUST_09166,51,female,high school,Salaried,13,34342.0,77659,0.3,637,1,4,0
CUST_08988,37,male,,Salaried,,31445.0,28167,,819,9,0,0
CUST_08364,60,,phd,,23,102506.0,10713,0.75,793,6,9,0
CUST_08574,52,M,Bachelor,self employed,1,,79116,0.29,671,6,14,1
CUST_03931,30,F,,,25,,20003,0.81,788,0,11,0
CUST_04950,61,Female,BACHELOR,self employed,16,40893.0,62039,0.39,706,6,0,0
